RCID	OBJL	BOY_FIELD	BOY_VALUE	LON	LAT
2293	BOYLAT	BOYLAT	4.0	121.6583056	32.0811944
2296	BOYLAT	BOYLAT	4.0	121.6563333	32.0770833
2342	BOYLAT	BOYLAT	4.0	121.67425	32.0793333
2345	BOYLAT	BOYLAT	4.0	121.6716667	32.0736667
2348	BOYLAT	BOYLAT	4.0	121.6761111	32.0755
2351	BOYLAT	BOYLAT	4.0	121.6900556	32.0648056
2339	BOYCAR	BOYCAR	4.0	121.6694722	32.0801111
441	BOYSPP	BOYSPP	4.0	122.2498889	31.8645278
444	BOYSPP	BOYSPP	4.0	122.2551944	31.86161
293	BOYLAT	BOYLAT	4.0	122.037633	31.951165
294	BOYLAT	BOYLAT	4.0	122.033133	31.950639
295	BOYLAT	BOYLAT	4.0	122.006888	31.971858
296	BOYLAT	BOYLAT	4.0	122.002358	31.971333
297	BOYLAT	BOYLAT	4.0	121.976108	31.992524
298	BOYLAT	BOYLAT	4.0	121.971581	31.992025
299	BOYLAT	BOYLAT	4.0	121.945329	32.01322
300	BOYLAT	BOYLAT	4.0	121.936913	32.013442
288	BOYSAW	BOYSAW	4.0	122.176214	31.85597
289	BOYSAW	BOYSAW	4.0	122.210213	31.832996
290	BOYSAW	BOYSAW	4.0	122.142157	31.878945
291	BOYSAW	BOYSAW	4.0	122.108133	31.90192
292	BOYSAW	BOYSAW	4.0	122.074044	31.924859
259	BOYCAR	BOYCAR	4.0	122.001021	31.842022
869	BOYLAT	BOYLAT	4.0	122.037802	31.715932
870	BOYLAT	BOYLAT	4.0	122.06276	31.71231
871	BOYLAT	BOYLAT	4.0	122.031144	31.710916
872	BOYLAT	BOYLAT	4.0	122.106086	31.70564
873	BOYLAT	BOYLAT	4.0	122.076921	31.704555
874	BOYLAT	BOYLAT	4.0	122.100208	31.702449
875	BOYLAT	BOYLAT	4.0	121.977763	31.701758
876	BOYLAT	BOYLAT	4.0	122.144982	31.701729
877	BOYLAT	BOYLAT	4.0	122.184094	31.698574
878	BOYLAT	BOYLAT	4.0	122.13913	31.698521
879	BOYLAT	BOYLAT	4.0	121.952948	31.695717
880	BOYLAT	BOYLAT	4.0	122.177699	31.693568
881	BOYLAT	BOYLAT	4.0	121.948976	31.690957
882	BOYLAT	BOYLAT	4.0	121.918535	31.687332
883	BOYLAT	BOYLAT	4.0	121.906423	31.680375
5690	BOYSPP	BOYSPP	2.0	121.673376	31.693859
5692	BOYSPP	BOYSPP	2.0	121.674686	31.709665
5693	BOYSPP	BOYSPP	2.0	121.652627	31.699027
5694	BOYSPP	BOYSPP	2.0	121.655186	31.713977
5696	BOYSPP	BOYSPP	4.0	121.670437	31.717609
5697	BOYSPP	BOYSPP	4.0	121.664243	31.718668
5611	BOYLAT	BOYLAT	4.0	121.873826	31.673626
5612	BOYLAT	BOYLAT	4.0	121.840989	31.674878
5613	BOYLAT	BOYLAT	4.0	121.813232	31.678657
5614	BOYLAT	BOYLAT	4.0	121.782371	31.690379
5615	BOYLAT	BOYLAT	4.0	121.749509	31.704604
5616	BOYLAT	BOYLAT	4.0	121.720268	31.708253
5617	BOYLAT	BOYLAT	4.0	121.627916	31.730328
5618	BOYLAT	BOYLAT	4.0	121.604798	31.741195
5619	BOYLAT	BOYLAT	4.0	121.591303	31.746967
5620	BOYLAT	BOYLAT	4.0	121.572188	31.756841
5621	BOYLAT	BOYLAT	4.0	121.549236	31.768579
5625	BOYLAT	BOYLAT	4.0	121.658719	31.718495
5626	BOYLAT	BOYLAT	4.0	121.683246	31.713023
5683	BOYLAT	BOYLAT	4.0	121.878094	31.67894
5684	BOYLAT	BOYLAT	4.0	121.703329	31.714273
5685	BOYLAT	BOYLAT	4.0	121.601689	31.744052
5686	BOYLAT	BOYLAT	4.0	121.684096	31.71594
5687	BOYLAT	BOYLAT	4.0	121.67083	31.718912
5688	BOYLAT	BOYLAT	4.0	121.664605	31.72033
5689	BOYLAT	BOYLAT	4.0	121.651466	31.723222
5691	BOYLAT	BOYLAT	4.0	121.789522	31.691996
5695	BOYLAT	BOYLAT	4.0	121.675968	31.717773
7066	BOYLAT	BOYLAT	4.0	121.314859	31.879302
7068	BOYLAT	BOYLAT	4.0	121.335414	31.871969
7070	BOYLAT	BOYLAT	4.0	121.343886	31.863247
7073	BOYLAT	BOYLAT	4.0	121.365684	31.841022
7075	BOYLAT	BOYLAT	4.0	121.38758	31.834553
7076	BOYLAT	BOYLAT	4.0	121.436078	31.831246
7077	BOYLAT	BOYLAT	4.0	121.470614	31.809886
7078	BOYLAT	BOYLAT	4.0	121.501299	31.792697
7079	BOYLAT	BOYLAT	4.0	121.521514	31.782618
