RCID	LON	LAT	symbol
14108	120.601106	39.497265	null
14109	120.583273	39.249936	null
14110	120.085614	39.037106	null
14111	123.338393	38.915441	null
14112	121.15093	38.550447	null
14113	121.056265	38.155121	null
14114	123.499557	37.994957	null
14115	121.814944	37.763195	null
14116	123.49589	36.854643	null
14117	121.384467	36.200374	null
24574	123.5961667	39.3268333	null
24647	124.0569444	36.1333333	null
14118	118.357	38.541077	null
14093	121.145458	39.597236	null
14094	119.841007	39.386434	null
14095	119.911616	38.5964	null
14096	122.380732	38.071882	null
14097	118.594684	38.228007	null
14098	119.543262	38.7075	null
15820	123.745933	35.078519	null
15821	123.500887	31.250176	null
15822	124.499933	31.000082	null
15823	126.14105	33.79361	null
15824	120.818455	33.72739	null
15825	123.486428	35.241586	null
15826	120.744141	35.243252	null
15827	123.002992	35.237975	null
15829	122.01112	35.254919	null
15842	126.825706	30.987213	null
15843	128.418301	34.220317	null
22269	123.0624444	32.6607222	null
23163	124.1333333	35.0	null
23186	124.5101667	35.4270833	null
23192	126.26025	32.0523889	null
23194	124.0940278	32.8853333	null
23199	126.4	31.6666667	null
23263	129.4861111	31.6219444	null
39934	126.201829	30.330464	null
39935	122.997754	30.03158	null
39936	123.999921	29.499922	null
39937	121.391917	27.542975	null
39938	122.500763	27.499955	null
39939	122.499944	26.916632	null
39940	121.999952	26.499972	null
39941	121.000569	27.009431	null
15722	123.984926	24.674889	null
19969	124.0367778	21.3134722	null
5967	113.983321	21.483413	null
5968	114.000714	20.999519	null
5969	115.613299	20.691584	null
5970	118.198911	23.636739	null
5971	115.619232	19.936053	null
5972	118.183244	21.6833	null
5973	117.833208	20.683604	null
5974	119.300702	24.483687	null
5975	120.714313	26.2885	null
5976	122.616503	25.699898	null
5977	116.167167	22.145515	null
5978	114.866633	21.883297	null
5979	122.699835	21.899963	null
5980	120.306264	25.499069	null
5981	117.339925	22.333289	null
5982	122.499838	26.166557	null
5983	118.999897	22.599951	null
5984	122.739834	26.01556	null
6028	119.6722222	22.9983333	null
32036	118.8533333	21.0555556	null
35411	117.4861944	22.6598056	null
35423	119.2677778	20.6186111	null
15263	111.275236	20.572836	null
15264	110.943333	20.516666	null
15265	109.166605	20.499921	null
15266	109.062495	20.140205	null
15268	115.543831	19.808905	null
15269	112.327695	19.675626	null
15271	108.619947	20.476033	null
15272	109.23327	20.36659	null
15273	108.940386	20.202843	null
15274	110.288061	18.088837	null
15345	112.501549	19.416606	null
15346	112.398217	18.871616	null
15347	111.99489	18.869949	null
23814	112.6226137	21.1165848	null
23820	111.5301667	19.6347222	null
23825	110.9955833	19.0033889	null
23829	111.1996111	19.2018611	null
23831	111.8301667	19.3480833	null
23835	110.9968056	18.5090833	null
11749	115.833294	15.499994	null
18145	114.321579	10.391308	null
5303	114.728259	8.145816	null
5304	114.437278	7.943301	null
5305	113.774714	7.369961	null
12533	123.560652	39.221321	null
12534	123.239324	39.443151	null
12535	123.159158	39.443318	null
12536	123.173658	39.516816	null
12537	123.235157	39.51665	null
21928	123.3383324	38.9157247	null
